code,system
101720.0,med
102311.0,med
102446.0,med
104760.0,med
104763.0,med
10575.0,med
107222.0,med
109634.0,med
11055.0,med
11172.0,med
11244.0,med
12771.0,med
14743.0,med
1494.0,med
14971.0,med
15733.0,med
15958.0,med
16537.0,med
16764.0,med
16905.0,med
17281.0,med
18053.0,med
20572.0,med
20785.0,med
2113.0,med
2117.0,med
22188.0,med
22644.0,med
23616.0,med
24107.0,med
25546.0,med
28562.0,med
30619.0,med
30985.0,med
31362.0,med
31455.0,med
31493.0,med
31589.0,med
31738.0,med
32222.0,med
33338.0,med
33383.0,med
33410.0,med
33693.0,med
33847.0,med
34236.0,med
34389.0,med
34966.0,med
35274.0,med
35848.0,med
35877.0,med
37580.0,med
37681.0,med
38063.0,med
3890.0,med
39062.0,med
39316.0,med
3984.0,med
40386.0,med
40981.0,med
41022.0,med
4261.0,med
43405.0,med
43800.0,med
4390.0,med
44498.0,med
47947.0,med
48054.0,med
4843.0,med
49223.0,med
49420.0,med
49761.0,med
49852.0,med
50060.0,med
50248.0,med
51322.0,med
51903.0,med
53032.0,med
53625.0,med
53985.0,med
54387.0,med
55221.0,med
55236.0,med
57666.0,med
58532.0,med
58716.0,med
58862.0,med
58866.0,med
60013.0,med
61098.0,med
61501.0,med
62405.0,med
62449.0,med
63478.0,med
63867.0,med
64264.0,med
64533.0,med
64993.0,med
65127.0,med
66077.0,med
66410.0,med
66506.0,med
66766.0,med
694.0,med
71250.0,med
73295.0,med
8407.0,med
854.0,med
91511.0,med
91547.0,med
9281.0,med
92994.0,med
94001.0,med
9422.0,med
94299.0,med
97919.0,med
98821.0,med
99000.0,med
99070.0,med
99199.0,med
F20,icd10
